original_text,tokens,labels
በተች የሚሰራ ቻርጅ የሚደረግ ለመኝታ ቤት ፣ ለሳሎን ፣ ለ ሆቴሎች እንዲሁም ለባዝ ሩም ዋጋ፦ ብር ውስን ፍሬ ነው ያለው   አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['በተች', 'የሚሰራ', 'ቻርጅ', 'የሚደረግ', 'ለመኝታ', 'ቤት', '፣', 'ለሳሎን', '፣', 'ለ', 'ሆቴሎች', 'እንዲሁም', 'ለባዝ', 'ሩም', 'ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለው', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
ዋጋ፦ ብር ውስን ፍሬ ነው ያለው   አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለው', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
በኤሌክትሪክየሚሰራ ለቤት መልካም መዓዛን የሚሰጥ ዋጋ፦ ብር ውስን ፍሬ ነው ያለን  አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['በኤሌክትሪክየሚሰራ', 'ለቤት', 'መልካም', 'መዓዛን', 'የሚሰጥ', 'ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለን', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['O', 'O', 'O', 'O', 'O', 'B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
የሱሪ ማስቀመጫ ዋጋ፦ ብር ውስን ፍሬ ነው ያለን  አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['የሱሪ', 'ማስቀመጫ', 'ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለን', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['O', 'O', 'B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
በበርዎ ስር አቧራ እና ነፍሳት እንዳይገባ የሚከላከል አንደኛው ወፍራሙ ዋጋ፦ ብር ውስን ፍሬ ነው ያለው   አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['በበርዎ', 'ስር', 'አቧራ', 'እና', 'ነፍሳት', 'እንዳይገባ', 'የሚከላከል', 'አንደኛው', 'ወፍራሙ', 'ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለው', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
የቀለም አማራጭ አላቸው በጣም ቀላል፣ ለመያዝ ምቹ ጥላ  በትንሽ የእጅ ቦርሳ ወይም በኪስ መያዝ የሚችል ዋጋ፦ ብር ውስን ፍሬ ነው ያለው   አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['የቀለም', 'አማራጭ', 'አላቸው', 'በጣም', 'ቀላል፣', 'ለመያዝ', 'ምቹ', 'ጥላ', 'በትንሽ', 'የእጅ', 'ቦርሳ', 'ወይም', 'በኪስ', 'መያዝ', 'የሚችል', 'ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለው', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
በኤሌክትሪክ የሚሰራ ለቤትና ለመኪና መልካም መዓዛን የሚሰጥ ዋጋ፦ ብር ውስን ፍሬ ነው ያለን  አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['በኤሌክትሪክ', 'የሚሰራ', 'ለቤትና', 'ለመኪና', 'መልካም', 'መዓዛን', 'የሚሰጥ', 'ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለን', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
ውሃ የማያስገባ እንደገና ሊታጠብ የሚችል የሕፃን የሽንት ምንጣፍ።  በተጨማሪም ዳይፐር ለመቀየር የሚያገለግል ዋጋ፦ ብር ውስን ፍሬ ነው ያለው   አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['ውሃ', 'የማያስገባ', 'እንደገና', 'ሊታጠብ', 'የሚችል', 'የሕፃን', 'የሽንት', 'ምንጣፍ።', 'በተጨማሪም', 'ዳይፐር', 'ለመቀየር', 'የሚያገለግል', 'ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለው', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
አልቋል ለተባላችሁ በድጋሜ ገብቷል ለሕፃን ወተት ማሞቂያ  በተጨማሪ ምግብ ለመቀቀል የሚሆን ዋጋ፦ ብር ውስን ፍሬ ነው ያለው  አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['አልቋል', 'ለተባላችሁ', 'በድጋሜ', 'ገብቷል', 'ለሕፃን', 'ወተት', 'ማሞቂያ', 'በተጨማሪ', 'ምግብ', 'ለመቀቀል', 'የሚሆን', 'ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለው', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'I-PRODUCT', 'I-PRODUCT', 'I-PRODUCT', 'I-PRODUCT', 'I-PRODUCT', 'B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
ዋጋ፦ ብር ውስን ፍሬ ነው ያለን  አድራሻ መገናኛ መሰረት ደፋር ሞል ሁለተኛ ፎቅ ቢሮ ቁ በ ለማዘዝ  ይጠቀሙ ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን,"['ዋጋ፦', 'ብር', 'ውስን', 'ፍሬ', 'ነው', 'ያለን', 'አድራሻ', 'መገናኛ', 'መሰረት', 'ደፋር', 'ሞል', 'ሁለተኛ', 'ፎቅ', 'ቢሮ', 'ቁ', 'በ', 'ለማዘዝ', 'ይጠቀሙ', 'ለተጨማሪ', 'ማብራሪያ', 'የቴሌግራም', 'ገፃችን']","['B-PRICE', 'O', 'O', 'O', 'O', 'O', 'B-LOC', 'B-LOC', 'I-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'B-LOC', 'B-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC', 'I-LOC']"
